id,name,price,mhs,watt
3090,3090,1489,46.5,330
2080ti,"2080 Ti",750,31.5,220
2060,3060,359,22,140
1660s,"1660 Super",279,10.7,90
1646997494717,2070,575,21,150
1647506177786,3080,755,39.5,250
1647547788557,"3080 Ti",1400,50,350
1647957322598,"1070 Ti",200,15,130
