id,name,price,mhs,watt
3090,3090,2300,114,320
2080ti,"2080 Ti",800,55,180
2060,3060,360,47.5,120
1660s,"1660 Super",359,33.4,80
1646997494717,2070,300,40,140
1647506177786,3080,1060,110,230
1647547788557,"3080 Ti",1049,85,280
1647957322598,"1070 Ti",200,28,140
